id,name,id_facility_type,description,website_url,deleted_at
36f10d06-e85f-5fe4-8b97-5a4f32c7f6b7,"SVaLZ, fyzioterapia v športe a telovýchove, Banská Bystrica, (Physiotraining s.r.o.)",833c026a-8cd4-523e-8c59-e112837fa142,Import e-VÚC | Identifikátor: 66-55680801-A0001 | Poskytovateľ: Physiotraining s.r.o. | IČO: 55680801 | Odbornosť: fyzioterapia v športe a telovýchove,,
467ef271-831c-50a7-b7bc-09d7d62443e7,"Algeziologická ambulancia, Banská Bystrica, (Paincontrol s. r. o.)",ae705f8b-37c8-5a0a-80cb-4e4170d05db0,Import e-VÚC | Identifikátor: 66-55591515-A0001 | Poskytovateľ: Paincontrol s. r. o. | IČO: 55591515 | Odbornosť: algeziológia,,
b622d8fc-25ab-5902-8b4f-a1bf74a0c901,"Psychiatrická ambulancia, Banská Bystrica, (MEDIKON-BB, s.r.o.)",789d9980-65d3-5652-abb0-a0eb237added,"Import e-VÚC | Identifikátor: 66-52058239-A0004 | Poskytovateľ: MEDIKON-BB, s.r.o. | IČO: 52058239 | Odbornosť: psychiatria",,
e00291a3-2722-55b6-b0fe-f87c05a6595f,"MRAZ - Klinika plastickej chirurgie, Banská Bystrica, (DOKTOR MRÁZ s.r.o.)",59ecdc54-fe75-52af-8703-3ee09a448675,Import e-VÚC | Identifikátor: 66-54918375-A0001 | Poskytovateľ: DOKTOR MRÁZ s.r.o. | IČO: 54918375 | Odbornosť: plastická chirurgia,,
ec3fe679-de52-52c1-86fd-59cf36d88c56,"Ambulancia zubného lekárstva, Banská Bystrica, (StomaBB, s.r.o.)",bd60949d-dfc4-516d-91db-bae6ef4e5a49,"Import e-VÚC | Identifikátor: 66-53234626-A0001 | Poskytovateľ: StomaBB, s.r.o. | IČO: 53234626 | Odbornosť: zubné lekárstvo",,
2a4567c2-bfac-5462-a34a-9316a6c1b0fd,"Ambulancia klinickej psychológie, Banská Bystrica, (Detská fakultná nemocnica s poliklinikou Banská Bystrica)",8257b8bd-f37e-5ee4-a3c5-6d86537eac9e,Import e-VÚC | Identifikátor: 51-37957937-A0055 | Poskytovateľ: Detská fakultná nemocnica s poliklinikou Banská Bystrica | IČO: 37957937 | Odbornosť: klinická psychológia,,
ae782a99-2d55-5301-a06a-a376fbb02095,"SVaLZ, fyzioterapia, Banská Bystrica, (Mgr. Katarína Otto Žabková)",833c026a-8cd4-523e-8c59-e112837fa142,Import e-VÚC | Identifikátor: 66-46040684-A0001 | Poskytovateľ: Mgr. Katarína Otto Žabková | IČO: 46040684 | Odbornosť: fyzioterapia,,
b1218356-3356-57f2-be67-eab0837d11d7,"Ambulancia dentálnej hygieny, Banská Bystrica, (Bc. Michaela Márniková)",41b131d1-1b51-523b-ab03-4a7fd391f09e,Import e-VÚC | Identifikátor: 66-55478336-A0001 | Poskytovateľ: Bc. Michaela Márniková | IČO: 55478336 | Odbornosť: dentálna hygiena,,
3ad810bc-f612-5494-835d-cef163986e1b,"KOFYZIO, Banská Bystrica, (Mgr. Janka Kopecká)",833c026a-8cd4-523e-8c59-e112837fa142,Import e-VÚC | Identifikátor: 66-55793410-A0001 | Poskytovateľ: Mgr. Janka Kopecká | IČO: 55793410 | Odbornosť: fyzioterapeut,,
28e5444a-2b9d-51a3-b39f-6871c9f4508b,"Úsmevdent, Banská Bystrica, (YS s. r. o.)",bd60949d-dfc4-516d-91db-bae6ef4e5a49,Import e-VÚC | Identifikátor: 66-55393420-A0001 | Poskytovateľ: YS s. r. o. | IČO: 55393420 | Odbornosť: zubné lekárstvo,,
3a292ece-0888-5977-94fa-fefd3f37436e,"Ambulancia zubného lekárstva, Banská Bystrica, (SUJA DENTAL CARE s. r. o.)",bd60949d-dfc4-516d-91db-bae6ef4e5a49,Import e-VÚC | Identifikátor: 66-55204643-A0001 | Poskytovateľ: SUJA DENTAL CARE s. r. o. | IČO: 55204643 | Odbornosť: zubné lekárstvo,,
